Date,Open,High,Low,Close,Adj Close,Volume
2023-01-30,135.39999389648438,136.08999633789062,134.5399932861328,135.39999389648438,135.39999389648438,2689800
2023-01-31,135.72999572753906,136.35000610351562,135.10000610351562,136.35000610351562,136.35000610351562,3002900
2023-02-01,135.47000122070312,139.17999267578125,135.35000610351562,137.97999572753906,137.97999572753906,3088000
2023-02-02,137.5800018310547,137.5800018310547,131.52000427246094,134.97000122070312,134.97000122070312,3763400
2023-02-03,135.41000366210938,137.35000610351562,134.63999938964844,136.30999755859375,136.30999755859375,2197000
2023-02-06,136.82000732421875,138.5399932861328,136.72999572753906,137.6699981689453,137.6699981689453,1598400
2023-02-07,136.66000366210938,139.0,136.3300018310547,138.6999969482422,138.6999969482422,1975200
2023-02-08,137.9600067138672,139.88999938964844,137.80999755859375,138.3699951171875,138.3699951171875,1748200
2023-02-09,138.85000610351562,139.50999450683594,137.1199951171875,137.17999267578125,137.17999267578125,1976800
2023-02-10,137.4199981689453,139.35000610351562,137.08999633789062,138.72999572753906,138.72999572753906,1723100
2023-02-13,139.0399932861328,140.5800018310547,139.0,139.7100067138672,139.7100067138672,1973200
2023-02-14,140.25999450683594,141.2100067138672,138.5800018310547,139.27000427246094,139.27000427246094,1662000
2023-02-15,139.1999969482422,142.00999450683594,139.1999969482422,141.9600067138672,141.9600067138672,2416200
2023-02-16,141.99000549316406,143.6699981689453,141.50999450683594,142.5399932861328,142.5399932861328,2426700
2023-02-17,142.42999267578125,142.9199981689453,140.9199981689453,141.52000427246094,141.52000427246094,3862500
2023-02-21,141.50999450683594,143.35000610351562,141.4199981689453,142.5800018310547,142.5800018310547,2638700
2023-02-22,143.0,143.75999450683594,141.9600067138672,142.49000549316406,142.49000549316406,1660000
2023-02-23,142.49000549316406,143.94000244140625,141.60000610351562,142.36000061035156,142.36000061035156,1690500
2023-02-24,141.63999938964844,142.1199951171875,141.2100067138672,141.80999755859375,141.80999755859375,1764900
2023-02-27,142.10000610351562,142.89999389648438,141.02999877929688,141.69000244140625,141.69000244140625,1807600
2023-02-28,142.25999450683594,144.3800048828125,141.9600067138672,143.52000427246094,143.52000427246094,3618600
2023-03-01,142.89999389648438,143.64999389648438,141.57000732421875,142.22999572753906,142.22999572753906,2346500
2023-03-02,141.5800018310547,142.7100067138672,140.91000366210938,142.25,142.25,1425700
2023-03-03,143.75,145.6999969482422,143.13999938964844,145.60000610351562,145.60000610351562,2536300
2023-03-06,145.3300018310547,146.5,145.0399932861328,145.63999938964844,145.63999938964844,2349000
2023-03-07,145.9499969482422,146.33999633789062,144.4600067138672,144.8300018310547,144.8300018310547,2086500
2023-03-08,145.80999755859375,146.1300048828125,142.5800018310547,143.75999450683594,143.75999450683594,1495500
2023-03-09,144.19000244140625,144.77000427246094,141.1199951171875,142.05999755859375,142.05999755859375,2671500
2023-03-10,140.97999572753906,142.66000366210938,140.4499969482422,140.64999389648438,140.64999389648438,2623100
2023-03-13,138.39999389648438,141.39999389648438,138.0399932861328,139.52999877929688,139.52999877929688,3646200
2023-03-14,141.02999877929688,141.9600067138672,138.8699951171875,141.83999633789062,141.83999633789062,3309700
2023-03-15,137.3000030517578,141.1300048828125,133.67999267578125,135.05999755859375,135.05999755859375,4091000
2023-03-16,138.6699981689453,143.57000732421875,137.39999389648438,142.8699951171875,142.8699951171875,4786000
2023-03-17,142.16000366210938,142.50999450683594,135.86000061035156,136.32000732421875,136.32000732421875,6381800
2023-03-20,136.61000061035156,139.85000610351562,136.22999572753906,139.07000732421875,139.07000732421875,2293300
2023-03-21,141.39999389648438,141.6300048828125,139.61000061035156,140.22999572753906,140.22999572753906,2451100
2023-03-22,140.11000061035156,140.72000122070312,136.6300048828125,136.69000244140625,136.69000244140625,2215900
2023-03-23,136.61000061035156,137.97999572753906,136.08999633789062,137.8300018310547,137.8300018310547,2445400
2023-03-24,136.69000244140625,140.52000427246094,135.77000427246094,140.42999267578125,140.42999267578125,3227300
2023-03-27,141.30999755859375,142.39999389648438,139.8800048828125,141.1199951171875,141.1199951171875,3181800
2023-03-28,141.13999938964844,143.08999633789062,141.0800018310547,142.85000610351562,142.85000610351562,2021200
2023-03-29,143.50999450683594,144.72999572753906,143.10000610351562,144.47999572753906,144.47999572753906,2041400
2023-03-30,144.57000732421875,145.0,142.4199981689453,143.7899932861328,143.7899932861328,2122900
2023-03-31,144.17999267578125,144.83999633789062,142.38999938964844,143.05999755859375,143.05999755859375,2344500
2023-04-03,142.74000549316406,145.47999572753906,142.74000549316406,145.10000610351562,145.10000610351562,1968800
